Subgroup,Outcome,Model,Type,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
Region: Coastal,SUB,GLM,matRRfit,1.051018772,0.991694381,0.970205123,1.044208103,1.012226508,0.952505666,0.990287593,1.05042415
Region: Coastal,SUB,GLM,matRRlow,0.938272371,0.872200011,0.855962091,0.922295149,0.892891528,0.838257017,0.868354063,0.935761059
Region: Coastal,SUB,GLM,matRRhigh,1.177313212,1.127559885,1.099695876,1.182236038,1.147510611,1.082325617,1.129342925,1.179137434
Region: Coastal,SMM,GLM,matRRfit,1.129701024,0.929563392,0.934376876,1.072445834,1.039277845,0.823347659,1.118621174,1.046734804
Region: Coastal,SMM,GLM,matRRlow,0.933145426,0.746801512,0.755783439,0.869919668,0.840534933,0.661588356,0.899931472,0.863371136
Region: Coastal,SMM,GLM,matRRhigh,1.367658639,1.157051889,1.15517237,1.322122156,1.285013147,1.024657345,1.390454018,1.269041439
Region: Western,GDM,GLM,matRRfit,1.111337445,0.965947148,1.074245097,1.085436495,1.074772878,0.946211289,1.102976151,1.007396065
Region: Western,GDM,GLM,matRRlow,0.934427868,0.791998134,0.890041197,0.901651135,0.893706435,0.784251728,0.909990836,0.84861178
Region: Western,GDM,GLM,matRRhigh,1.321740243,1.178101125,1.296572038,1.306683193,1.29252369,1.141617891,1.336888615,1.195890577
Region: Western,PTB,GLM,matRRfit,0.936738773,1.095644651,0.886495884,1.109847288,1.207928593,0.905571043,1.026183798,0.986030148
Region: Western,PTB,GLM,matRRlow,0.794529137,0.912483019,0.742562081,0.935229213,1.020564708,0.761691663,0.858339947,0.841062729
Region: Western,PTB,GLM,matRRhigh,1.104401951,1.315572101,1.058328957,1.317068571,1.429690322,1.07662845,1.226848628,1.155984469
Region: Western,HDP,GLM,matRRfit,1.080523682,0.945829474,1.007648083,1.009560301,1.048307502,1.042671242,0.983878405,0.935174141
Region: Western,HDP,GLM,matRRlow,0.921767317,0.78782478,0.846830291,0.850925033,0.88473013,0.879330023,0.824282049,0.798182713
Region: Western,HDP,GLM,matRRhigh,1.266622721,1.1355233,1.199006069,1.197769443,1.242128625,1.236354146,1.174375589,1.095677293
Region: Western,SMI,GLM,matRRfit,0.988548452,0.575013529,1.709595891,1.011669601,0.699455212,0.696280325,2.078985918,0.587295061
Region: Western,SMI,GLM,matRRlow,0.641444309,0.348652227,1.10393161,0.646594342,0.441819998,0.443584845,1.386358454,0.386797342
